currency,rate,date
SBD,1.446579,2024-11-25
SCR,2.345377,2024-11-25
SDG,103.702071,2024-11-25
SEK,1.90309,2024-11-25
SGD,0.232491,2024-11-25
SHP,0.136082,2024-11-25
SLE,3.91349,2024-11-25
SLL,3615.245994,2024-11-25
SOS,98.528918,2024-11-25
SRD,6.119342,2024-11-25
STD,3568.433965,2024-11-25
SVC,1.508881,2024-11-25
SYP,433.172534,2024-11-25
SZL,3.110152,2024-11-25
THB,5.978485,2024-11-25
TJS,1.838223,2024-11-25
TMT,0.605141,2024-11-25
TND,0.546783,2024-11-25
TOP,0.403789,2024-11-25
TRY,5.967039,2024-11-25
TTD,1.171257,2024-11-25
TWD,5.579455,2024-11-25
TZS,456.873022,2024-11-25
UAH,7.156163,2024-11-25
UGX,638.929858,2024-11-25
USD,0.172405,2024-11-25
UYU,7.350244,2024-11-25
UZS,2211.955286,2024-11-25
VES,8.031402,2024-11-25
VND,4382.533318,2024-11-25
VUV,20.46826,2024-11-25
WST,0.481284,2024-11-25
XAF,107.936779,2024-11-25
XAG,0.005724,2024-11-25
XAU,6.6036932E-5,2024-11-25
XCD,0.465933,2024-11-25
XDR,0.1319,2024-11-25
XOF,108.184108,2024-11-25
XPF,19.662712,2024-11-25
YER,43.088311,2024-11-25
ZAR,3.116219,2024-11-25
ZMK,1551.850652,2024-11-25
ZMW,4.75505,2024-11-25
ZWL,55.514317,2024-11-25
SBD,1.412818,2024-11-27
SCR,2.282415,2024-11-27
SDG,101.281176,2024-11-27
SEK,1.839179,2024-11-27
SGD,0.225794,2024-11-27
SHP,0.132906,2024-11-27
SLE,3.82271,2024-11-27
SLL,3530.87162,2024-11-27
SOS,96.282784,2024-11-27
SRD,5.959097,2024-11-27
STD,3485.152113,2024-11-27
SVC,1.474134,2024-11-27
SYP,423.062942,2024-11-27
SZL,3.055964,2024-11-27
THB,5.810584,2024-11-27
TJS,1.80673,2024-11-27
TMT,0.591018,2024-11-27
TND,0.529224,2024-11-27
TOP,0.394365,2024-11-27
TRY,5.832995,2024-11-27
TTD,1.143526,2024-11-27
TWD,5.457152,2024-11-27
TZS,445.471307,2024-11-27
UAH,7.01397,2024-11-27
UGX,621.66963,2024-11-27
USD,0.168381,2024-11-27
UYU,7.220009,2024-11-27
UZS,2164.402424,2024-11-27
VES,7.879695,2024-11-27
VND,4274.358274,2024-11-27
VUV,19.990561,2024-11-27
WST,0.470052,2024-11-27
XAF,104.965874,2024-11-27
XAG,0.005592,2024-11-27
XAU,6.385552E-5,2024-11-27
XCD,0.455059,2024-11-27
XDR,0.128862,2024-11-27
XOF,104.96737,2024-11-27
XPF,19.084372,2024-11-27
YER,42.082684,2024-11-27
ZAR,3.062333,2024-11-27
ZMK,1515.632169,2024-11-27
ZMW,4.594755,2024-11-27
ZWL,54.218697,2024-11-27
SBD,1.402082,2024-11-29
SCR,2.52576,2024-11-29
SDG,100.681017,2024-11-29
SEK,1.824952,2024-11-29
SGD,0.224209,2024-11-29
SHP,0.132118,2024-11-29
SLE,3.808007,2024-11-29
SLL,3509.922124,2024-11-29
SOS,95.659548,2024-11-29
SRD,5.925943,2024-11-29
STD,3464.473881,2024-11-29
SVC,1.465536,2024-11-29
SYP,420.55281,2024-11-29
SZL,3.017963,2024-11-29
THB,5.741821,2024-11-29
TJS,1.825617,2024-11-29
TMT,0.585838,2024-11-29
TND,0.525921,2024-11-29
TOP,0.392027,2024-11-29
TRY,5.805301,2024-11-29
TTD,1.134856,2024-11-29
TWD,5.432229,2024-11-29
TZS,441.8891,2024-11-29
UAH,6.966999,2024-11-29
UGX,618.11934,2024-11-29
USD,0.167382,2024-11-29
UYU,7.175721,2024-11-29
UZS,2155.046058,2024-11-29
VES,7.958699,2024-11-29
VND,4242.553281,2024-11-29
VUV,19.871953,2024-11-29
WST,0.467263,2024-11-29
XAF,104.016384,2024-11-29
XAG,0.005467,2024-11-29
XAU,6.3139869E-5,2024-11-29
XCD,0.452359,2024-11-29
XDR,0.128126,2024-11-29
XOF,103.818879,2024-11-29
XPF,18.998483,2024-11-29
YER,41.913107,2024-11-29
ZAR,3.023016,2024-11-29
ZMK,1506.641383,2024-11-29
ZMW,4.509616,2024-11-29
ZWL,53.897005,2024-11-29
SBD,1.402082,2024-11-30
SCR,2.388606,2024-11-30
SDG,100.681017,2024-11-30
SEK,1.824479,2024-11-30
SGD,0.224209,2024-11-30
SHP,0.132118,2024-11-30
SLE,3.808007,2024-11-30
SLL,3509.922124,2024-11-30
SOS,95.486551,2024-11-30
SRD,5.925943,2024-11-30
STD,3464.473881,2024-11-30
SVC,1.461797,2024-11-30
SYP,420.55281,2024-11-30
